subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,keyPress,accuracy,RT,experimentTime,totalTime,age,gender
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,0,large,classroom,computer.png,misscaled,0,zi,kitchen,k0_zi.png,m,1,1694,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,1,large,classroom,notebook.png,misscaled,1,zi,classroom,c3_zi.png,c,1,1892,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,2,large,kitchen,toaster.png,misscaled,1,zi,kitchen,k3_zi.png,m,0,1880,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,3,large,classroom,clipboard.png,scaled,0,zo,bathroom,b2_zo.png,m,1,1624,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,4,large,kitchen,pot.png,scaled,1,zo,kitchen,k1_zo.png,m,0,1329,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,5,small,classroom,eraser.png,misscaled,1,zo,classroom,c0_zo.png,c,1,1849,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,6,small,classroom,paperclip.png,misscaled,1,zo,classroom,c4_zo.png,c,1,1279,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,7,large,bathroom,hairdryer.png,misscaled,0,zi,kitchen,k1_zi.png,m,1,1470,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,8,small,classroom,binderclip.png,misscaled,0,zo,bathroom,b4_zo.png,m,1,1438,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,9,small,kitchen,sponge.png,scaled,1,zi,kitchen,k4_zi.png,c,1,1591,69451,248164,44,Woman
347162,OSSe3,v1,1440,789,1440,900,5-9-2023,21-21-45,2,10,large,kitchen,kettle.png,scaled,0,zo,laundromat,l2_zo.png,m,1,1503,69451,248164,44,Woman
