subjID,experimentName,versionName,sequenceName,Z-Scored RT,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,objSceneSemCong,object,side,objectCategory,scale,image,keyPress,accuracy,RT,ratingTrialNum,rating,ratingObject,ratingScene,experimentTime,totalTime,age,gender
493477,OSSe5,v1,jsons/s5.json,2.781697300332483,1366,657,1366,768,6-15-2023,9-11-45,1,0,k10,0,laptop,R,classroom,scaled,k10_laptop_R.png,m,1,3520,0,2,laptop,k10,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,1.969317705236679,1366,657,1366,768,6-15-2023,9-11-45,1,1,k0,1,pot,L,kitchen,scaled,k0_pot_L.png,c,1,3079,1,1,pot,k0,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,1.0095676620509328,1366,657,1366,768,6-15-2023,9-11-45,1,3,c9,0,kettle,R,kitchen,scaled,c9_kettle_R.png,m,1,2558,3,1,kettle,c9,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,0.5619299259777346,1366,657,1366,768,6-15-2023,9-11-45,1,4,k8,0,flashdrive,R,classroom,misscaled,k8_flashdrive_R.png,c,0,2315,4,1,flashdrive,k8,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.16571166146635316,1366,657,1366,768,6-15-2023,9-11-45,1,5,c4,0,toaster,L,kitchen,scaled,c4_toaster_L.png,c,1,1920,5,1,toaster,c4,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,0.8566708221576183,1366,657,1366,768,6-15-2023,9-11-45,1,6,k6,0,clipboard,L,classroom,scaled,k6_clipboard_L.png,c,1,2475,6,1,clipboard,k6,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,0.12902923471353048,1366,657,1366,768,6-15-2023,9-11-45,1,7,k2,1,sponge,L,kitchen,misscaled,k2_sponge_L.png,c,1,2080,7,1,sponge,k2,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,0.14192414892140037,1366,657,1366,768,6-15-2023,9-11-45,1,8,c8,1,flashdrive,L,classroom,misscaled,c8_flashdrive_L.png,c,1,2087,8,1,flashdrive,c8,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.25966032212369106,1366,657,1366,768,6-15-2023,9-11-45,1,9,c3,0,spoon,R,kitchen,misscaled,c3_spoon_R.png,m,1,1869,9,1,spoon,c3,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.17308018387085025,1366,657,1366,768,6-15-2023,9-11-45,1,10,c1,0,saltshaker,R,kitchen,misscaled,c1_saltshaker_R.png,m,1,1916,10,1,saltshaker,c1,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.10860561283150072,1366,657,1366,768,6-15-2023,9-11-45,1,11,k9,1,kettle,R,kitchen,scaled,k9_kettle_R.png,m,1,1951,11,1,kettle,k9,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,0.753511508494659,1366,657,1366,768,6-15-2023,9-11-45,1,12,c11,1,notebook,L,classroom,scaled,c11_notebook_L.png,c,1,2419,12,1,notebook,c11,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.7330878866126291,1366,657,1366,768,6-15-2023,9-11-45,1,13,c2,0,sponge,L,kitchen,misscaled,c2_sponge_L.png,c,1,1612,13,1,sponge,c2,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.9633542117531633,1366,657,1366,768,6-15-2023,9-11-45,1,14,c0,0,pot,R,kitchen,scaled,c0_pot_R.png,m,1,1487,14,1,pot,c0,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-1.0370394357981343,1366,657,1366,768,6-15-2023,9-11-45,1,15,k5,0,binderclip,L,classroom,misscaled,k5_binderclip_L.png,c,1,1447,15,1,binderclip,k5,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.14729035545511043,1366,657,1366,768,6-15-2023,9-11-45,1,16,k7,0,eraser,L,classroom,misscaled,k7_eraser_L.png,c,1,1930,16,1,eraser,k7,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.4972951696687223,1366,657,1366,768,6-15-2023,9-11-45,1,17,c7,1,eraser,L,classroom,misscaled,c7_eraser_L.png,c,1,1740,17,1,eraser,c7,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.23202836310682698,1366,657,1366,768,6-15-2023,9-11-45,1,18,c10,1,laptop,R,classroom,scaled,c10_laptop_R.png,m,1,1884,18,1,laptop,c10,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-1.488361433073581,1366,657,1366,768,6-15-2023,9-11-45,1,19,k1,1,saltshaker,R,kitchen,misscaled,k1_saltshaker_R.png,m,1,1202,19,1,saltshaker,k1,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.023867605179784167,1366,657,1366,768,6-15-2023,9-11-45,1,20,c6,1,clipboard,R,classroom,scaled,c6_clipboard_R.png,m,1,1997,20,1,clipboard,c6,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-0.15097461665735898,1366,657,1366,768,6-15-2023,9-11-45,1,21,c5,1,binderclip,L,classroom,misscaled,c5_binderclip_L.png,c,1,1928,21,1,binderclip,c5,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-1.1144089210453536,1366,657,1366,768,6-15-2023,9-11-45,1,22,k11,0,notebook,R,classroom,scaled,k11_notebook_R.png,m,1,1405,22,1,notebook,k11,374136,557303,51,Man
493477,OSSe5,v1,jsons/s5.json,-1.1088825292419808,1366,657,1366,768,6-15-2023,9-11-45,1,23,k3,1,spoon,R,kitchen,misscaled,k3_spoon_R.png,m,1,1408,23,1,spoon,k3,374136,557303,51,Man
193670,OSSe5,v1,jsons/s21.json,-0.01760720041070187,1818,876,1364,768,6-15-2023,9-16-21,1,0,k6,1,sponge,L,kitchen,misscaled,k6_sponge_L.png,c,1,2378,0,1,sponge,k6,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,0.7051107828024005,1818,876,1364,768,6-15-2023,9-16-21,1,1,k5,1,saltshaker,R,kitchen,misscaled,k5_saltshaker_R.png,m,1,3110,1,3,saltshaker,k5,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,0.41385148628892343,1818,876,1364,768,6-15-2023,9-16-21,1,2,k2,0,laptop,R,classroom,scaled,k2_laptop_R.png,m,1,2815,2,2,laptop,k2,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,0.7288064543831579,1818,876,1364,768,6-15-2023,9-16-21,1,3,c3,1,notebook,R,classroom,scaled,c3_notebook_R.png,m,1,3134,3,1,notebook,c3,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,1.4604103144390443,1818,876,1364,768,6-15-2023,9-16-21,1,4,k4,1,pot,L,kitchen,scaled,k4_pot_L.png,c,1,3875,4,1,pot,k4,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,0.8917141965008654,1818,876,1364,768,6-15-2023,9-16-21,1,5,c4,0,pot,L,kitchen,scaled,c4_pot_L.png,c,1,3299,5,1,pot,c4,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,2.175229740458561,1818,876,1364,768,6-15-2023,9-16-21,1,6,c7,0,spoon,R,kitchen,misscaled,c7_spoon_R.png,m,1,4599,6,3,spoon,c7,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,2.0922948899259097,1818,876,1364,768,6-15-2023,9-16-21,1,7,c0,1,flashdrive,L,classroom,misscaled,c0_flashdrive_L.png,c,1,4515,7,3,flashdrive,c0,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,1.363652988817618,1818,876,1364,768,6-15-2023,9-16-21,1,8,k3,0,notebook,L,classroom,scaled,k3_notebook_L.png,c,1,3777,8,1,notebook,k3,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.9269285973222692,1818,876,1364,768,6-15-2023,9-16-21,1,9,k1,1,kettle,L,kitchen,scaled,k1_kettle_L.png,c,1,1457,9,1,kettle,k1,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.23481752323431185,1818,876,1364,768,6-15-2023,9-16-21,1,10,c5,0,saltshaker,R,kitchen,misscaled,c5_saltshaker_R.png,m,1,2158,10,1,saltshaker,c5,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.6346819811595938,1818,876,1364,768,6-15-2023,9-16-21,1,11,k8,1,toaster,R,kitchen,scaled,k8_toaster_R.png,m,1,1753,11,1,toaster,k8,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.6099989899296382,1818,876,1364,768,6-15-2023,9-16-21,1,12,k10,0,clipboard,L,classroom,scaled,k10_clipboard_L.png,c,1,1778,12,1,clipboard,k10,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.8281966324024465,1818,876,1364,768,6-15-2023,9-16-21,1,13,k11,0,eraser,L,classroom,misscaled,k11_eraser_L.png,c,1,1557,13,1,eraser,k11,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.8114121983660766,1818,876,1364,768,6-15-2023,9-16-21,1,14,k9,0,binderclip,R,classroom,misscaled,k9_binderclip_R.png,m,1,1574,14,1,binderclip,k9,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.3967379457028211,1818,876,1364,768,6-15-2023,9-16-21,1,15,c2,1,laptop,L,classroom,scaled,c2_laptop_L.png,c,1,1994,15,1,laptop,c2,241140,318554,24,Woman
193670,OSSe5,v1,jsons/s21.json,-0.8667020987211773,1818,876,1364,768,6-15-2023,9-16-21,1,16,c10,1,clipboard,L,classroom,scaled,c10_clipboard_L.png,c,1,1518,16,1,clipboard,c10,241140,318554,24,Woman
