subjID,experimentName,versionName,sequenceName,Z-Scored RT,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,scene,image_name,object,side,objectCategory,objSceneSemCong,scale,image,presentationSize,keyPress,accuracy,RT,ratingTrialNum,rating,thisRatingTrialFile,experimentTime,totalTime,age,gender
135584,OSSe5,v2,jsons/s2.json,-0.4895168904493835,1366,768,1366,768,6-20-2023,10-44-50,1,0,c3,c3_large_clipboard,clipboard,L,classroom,1,scaled,c3_large_clipboard_L.png,large,c,1,877,0,5,c3_large_clipboard_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,0.1565172621560727,1366,768,1366,768,6-20-2023,10-44-50,1,1,k7,k7_small_laptop,laptop,L,classroom,0,misscaled,k7_small_laptop_L.png,small,m,0,1368,1,4,k7_small_laptop_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.35531020294275106,1366,768,1366,768,6-20-2023,10-44-50,1,3,k11,k11_small_sponge,sponge,R,kitchen,1,scaled,k11_small_sponge_R.png,small,m,1,979,3,5,k11_small_sponge_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.6105660595730128,1366,768,1366,768,6-20-2023,10-44-50,1,4,k0,k0_large_spoon,spoon,R,kitchen,1,misscaled,k0_large_spoon_R.png,large,m,1,785,4,7,k0_large_spoon_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,0.29730270885420673,1366,768,1366,768,6-20-2023,10-44-50,1,5,c6,c6_large_kettle,kettle,L,kitchen,0,scaled,c6_large_kettle_L.png,large,c,1,1475,5,5,c6_large_kettle_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.26189182242342846,1366,768,1366,768,6-20-2023,10-44-50,1,6,k8,k8_small_notebook,notebook,L,classroom,0,misscaled,k8_small_notebook_L.png,small,c,1,1050,6,4,k8_small_notebook_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.46188610184507684,1366,768,1366,768,6-20-2023,10-44-50,1,7,k9,k9_small_pot,pot,L,kitchen,1,misscaled,k9_small_pot_L.png,small,c,1,898,7,5,k9_small_pot_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,0.2867766941478042,1366,768,1366,768,6-20-2023,10-44-50,1,8,k5,k5_small_flashdrive,flashdrive,L,classroom,0,scaled,k5_small_flashdrive_L.png,small,c,1,1467,8,6,k5_small_flashdrive_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.4526758389769746,1366,768,1366,768,6-20-2023,10-44-50,1,9,c11,c11_large_sponge,sponge,L,kitchen,0,misscaled,c11_large_sponge_L.png,large,c,1,905,9,5,c11_large_sponge_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.034266754397473426,1366,768,1366,768,6-20-2023,10-44-50,1,10,c0,c0_small_spoon,spoon,R,kitchen,0,scaled,c0_small_spoon_R.png,small,m,1,1223,10,4,c0_small_spoon_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,0.04467835590054566,1366,768,1366,768,6-20-2023,10-44-50,1,11,c5,c5_large_flashdrive,flashdrive,R,classroom,1,misscaled,c5_large_flashdrive_R.png,large,m,1,1283,11,7,c5_large_flashdrive_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,1.5604244736225121,1366,768,1366,768,6-20-2023,10-44-50,1,12,k2,k2_small_binderclip,binderclip,R,classroom,0,scaled,k2_small_binderclip_R.png,small,m,1,2435,12,5,k2_small_binderclip_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.30399588124903865,1366,768,1366,768,6-20-2023,10-44-50,1,13,c8,c8_large_notebook,notebook,R,classroom,1,scaled,c8_large_notebook_R.png,large,m,1,1018,13,7,c8_large_notebook_R.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.47504362022808,1366,768,1366,768,6-20-2023,10-44-50,1,14,c9,c9_large_pot,pot,L,kitchen,0,scaled,c9_large_pot_L.png,large,c,1,888,14,4,c9_large_pot_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.45136008713867426,1366,768,1366,768,6-20-2023,10-44-50,1,15,c4,c4_large_eraser,eraser,L,classroom,1,misscaled,c4_large_eraser_L.png,large,c,1,906,15,7,c4_large_eraser_L.png,189045,250197,30,Man
135584,OSSe5,v2,jsons/s2.json,-0.18689396764031033,1366,768,1366,768,6-20-2023,10-44-50,1,16,k4,k4_small_eraser,eraser,L,classroom,0,scaled,k4_small_eraser_L.png,small,c,1,1107,16,4,k4_small_eraser_L.png,189045,250197,30,Man
