subjID,experimentName,versionName,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,pracTries,trialNum,objectSize,objectCategory,object,s2_misscaled,misscaled,objectScene1SemanticCongruency,scene1ZoomName,scene1Category,scene1,scene2SizeCong,scene2SemCong,scene2ZoomName,scene2Category,scene2,keyPress,accuracy,RT,experimentTime,totalTime,age,gender
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,0,small,kitchen,sponge.png,misscaled,misscaled,0,zo,classroom,c1_zo.png,1,1,zo,classroom,c4_zo.png,c,1,838,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,1,small,kitchen,saltshaker.png,scaled,scaled,1,zi,kitchen,k3_zi.png,1,0,zi,bathroom,b0_zi.png,c,0,851,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,2,large,laundromat,detergent.png,misscaled,scaled,1,zo,laundromat,l4_zo.png,0,1,zi,laundromat,l3_zi.png,c,1,985,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,3,small,classroom,paperclip.png,misscaled,misscaled,1,zo,classroom,c0_zo.png,1,0,zo,kitchen,k1_zo.png,c,0,748,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,4,small,classroom,binderclip.png,misscaled,scaled,1,zi,classroom,c5_zi.png,0,0,zo,kitchen,k4_zo.png,m,1,773,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,5,small,classroom,eraser.png,scaled,misscaled,1,zo,classroom,c5_zo.png,0,0,zi,kitchen,k1_zi.png,m,1,962,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,6,large,laundromat,shirt.png,misscaled,misscaled,0,zi,bathroom,b2_zi.png,1,1,zi,bathroom,b5_zi.png,c,1,843,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,7,small,bathroom,floss.png,scaled,scaled,0,zi,kitchen,k2_zi.png,1,0,zi,classroom,c4_zi.png,m,1,733,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,8,large,classroom,powerstrip.png,misscaled,misscaled,1,zi,classroom,c1_zi.png,1,0,zi,laundromat,l1_zi.png,m,1,724,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,9,large,bathroom,tissuebox.png,misscaled,scaled,0,zo,kitchen,k2_zo.png,0,0,zi,laundromat,l4_zi.png,m,1,655,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,10,large,bathroom,loofah.png,misscaled,misscaled,0,zi,laundromat,l0_zi.png,1,0,zi,kitchen,k0_zi.png,m,1,818,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,11,large,kitchen,pot.png,misscaled,scaled,1,zo,kitchen,k0_zo.png,0,1,zi,kitchen,k5_zi.png,c,1,818,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,12,small,kitchen,spoon.png,scaled,misscaled,0,zo,laundromat,l5_zo.png,0,1,zi,laundromat,l2_zi.png,c,1,639,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,13,small,laundromat,coins.png,misscaled,scaled,0,zi,bathroom,b3_zi.png,0,1,zo,bathroom,b0_zo.png,c,1,1036,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,14,large,bathroom,hairdryer.png,scaled,scaled,0,zo,laundromat,l1_zo.png,1,0,zo,classroom,c3_zo.png,c,0,639,65856,272145,40,Woman
747317,OSS,v7,1536,722,1536,864,2-16-2023,14-10-37,2,15,large,kitchen,kettle.png,scaled,misscaled,1,zi,kitchen,k4_zi.png,0,1,zo,kitchen,k3_zo.png,c,1,1669,65856,272145,40,Woman
